"Step","File","From","To","Action","Error"
"BucketDrop","20251213_074307.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251213_074307.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251213_074307.jpg","Moved",""
"BucketDrop","20251213_134808.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251213_134808.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251213_134808.jpg","Moved",""
"BucketDrop","20251214_185635.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251214_185635.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251214_185635.jpg","Moved",""
"BucketDrop","20251214_185736.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251214_185736.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251214_185736.jpg","Moved",""
"BucketDrop","20251214_190110.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251214_190110.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251214_190110.jpg","Moved",""
"BucketDrop","20251214_190844.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251214_190844.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251214_190844.jpg","Moved",""
"BucketDrop","Screenshot_20251213_084317.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_084317.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_084317.jpg","Moved",""
"BucketDrop","Screenshot_20251213_084524_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_084524_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_084524_Cash App.jpg","Moved",""
"BucketDrop","Screenshot_20251213_084751_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_084751_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_084751_Cash App.jpg","Moved",""
"BucketDrop","Screenshot_20251213_084813_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_084813_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_084813_Cash App.jpg","Moved",""
"BucketDrop","Screenshot_20251213_085102_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_085102_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_085102_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_085110_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_085110_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_085110_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_085835_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_085835_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_085835_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_090410_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_090410_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_090410_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_091129_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_091129_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_091129_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_091135_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_091135_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_091135_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_093011_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_093011_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_093011_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_093609_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_093609_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_093609_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_093635_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_093635_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_093635_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_094250_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_094250_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_094250_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_094519_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_094519_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_094519_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_095144_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_095144_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_095144_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_111121_Chrome.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_111121_Chrome.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_111121_Chrome.jpg","Moved",""
"BucketDrop","Screenshot_20251213_142817_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_142817_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_142817_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_142841_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_142841_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_142841_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_143323_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_143323_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_143323_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_145129_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_145129_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_145129_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_145852_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_145852_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_145852_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_145934_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_145934_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_145934_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_150458_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_150458_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_150458_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_151041_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_151041_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_151041_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_151721_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_151721_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_151721_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_152743_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_152743_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_152743_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_152754_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_152754_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_152754_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_153341_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_153341_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_153341_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_154241_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_154241_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_154241_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_155228_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_155228_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_155228_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_155247_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_155247_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_155247_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_155716_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_155716_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_155716_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_161331_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_161331_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_161331_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_161716_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_161716_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_161716_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_161836_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_161836_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_161836_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_161946_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_161946_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_161946_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_163432_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_163432_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_163432_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_165200_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_165200_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_165200_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_165745_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_165745_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_165745_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_170001_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_170001_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_170001_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_170421_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_170421_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_170421_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_170535_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_170535_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_170535_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_173647_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_173647_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_173647_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_174122_Tesla.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_174122_Tesla.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_174122_Tesla.jpg","Moved",""
"BucketDrop","Screenshot_20251213_175421_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_175421_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_175421_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_181014_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_181014_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_181014_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_182625_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_182625_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_182625_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_204359_Facebook.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_204359_Facebook.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_204359_Facebook.jpg","Moved",""
"BucketDrop","Screenshot_20251214_124802_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251214_124802_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251214_124802_Cash App.jpg","Moved",""
"BucketDrop","Screenshot_20251214_125132_Messages.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251214_125132_Messages.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251214_125132_Messages.jpg","Moved",""
"BucketDrop","Screenshot_20251214_132134_Chase.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251214_132134_Chase.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251214_132134_Chase.jpg","Moved",""
"BucketDrop","Screenshot_20251214_141912_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251214_141912_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251214_141912_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251214_144336_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251214_144336_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251214_144336_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251214_161205_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251214_161205_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251214_161205_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251214_164814_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251214_164814_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251214_164814_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251214_195410.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251214_195410.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251214_195410.jpg","Moved",""
"BucketDrop","Screenshot_20251214_201418_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251214_201418_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251214_201418_Uber Driver.jpg","Moved",""
